Area,Size_sqft,Bedrooms,Bathrooms,Amenities,Furnishing,View,Developer,YearBuilt,ParkingSpaces,AnnualRent,PropertyValuation,PropertyType
Dubai Marina,1672,3,2,"Maid Room, Balcony, Security",Semi-Furnished,Park,Damac,2002,1,74465,1664679,Apartment
JLT,5805,3,4,"Pool, Parking, Smart Home, Gym, Kids Area",Unfurnished,None,Nakheel,2008,2,501766,8155037,Villa
Business Bay,5993,5,6,"Security, Gym, Smart Home, Kids Area, Balcony, Parking",Furnished,Sea,Damac,2024,1,412188,8612620,Villa
Palm Jumeirah,1275,3,2,"Pool, Parking, Security",Furnished,City,Azizi,2017,1,54905,1330882,Apartment
Arabian Ranches,3430,2,2,"Balcony, Pool, Parking, Security",Semi-Furnished,None,Meraas,2004,1,395596,5709597,Townhouse
Downtown,1850,2,3,"Pet Friendly, Balcony, Parking, Pool, Gym",Semi-Furnished,Sea,Sobha,2007,1,160926,2990685,Townhouse
JLT,2266,2,1,"Pet Friendly, Kids Area, Parking, Gym",Semi-Furnished,City,Meraas,2016,2,218956,3352588,Townhouse
Arabian Ranches,2036,3,2,"Gym, Pool, Security, Balcony, Parking",Unfurnished,City,Sobha,2019,3,124877,1864254,Townhouse
Business Bay,1851,2,1,"Kids Area, Pet Friendly, Gym, Maid Room",Semi-Furnished,None,Damac,2021,1,115736,2361512,Apartment
JLT,3836,6,7,"Maid Room, Parking, Pool, Balcony, Kids Area",Unfurnished,Park,Azizi,2018,2,300777,4626504,Villa
JLT,1280,3,4,"Smart Home, Maid Room, Balcony, Kids Area, Pool",Unfurnished,Street,Meraas,2005,3,54511,982830,Apartment
Arabian Ranches,1938,1,2,"Balcony, Maid Room, Pool, Gym, Kids Area",Furnished,Street,Azizi,2024,1,137341,2062677,Apartment
Business Bay,4072,6,6,"Parking, Gym, Pet Friendly, Smart Home",Semi-Furnished,Park,Nakheel,2022,3,292076,5149247,Villa
Dubai Marina,1351,3,4,"Smart Home, Pet Friendly, Maid Room, Security, Balcony",Furnished,Street,Sobha,2008,1,89556,1853423,Apartment
Palm Jumeirah,3624,6,5,"Balcony, Security, Parking, Pet Friendly, Smart Home",Furnished,Park,Nakheel,2007,2,331301,5414074,Villa
Dubai Marina,1077,3,3,"Gym, Balcony, Pet Friendly, Smart Home, Kids Area, Maid Room",Unfurnished,Street,Sobha,2000,2,52277,1011184,Apartment
The Springs,1904,3,4,"Smart Home, Balcony, Parking, Maid Room",Semi-Furnished,Sea,Sobha,2010,3,123404,2367268,Apartment
Downtown,2061,4,5,"Pet Friendly, Gym, Smart Home",Unfurnished,Street,Nakheel,2014,1,90028,1752436,Townhouse
Business Bay,1091,2,2,"Security, Pool, Balcony, Gym, Maid Room, Kids Area",Semi-Furnished,Park,Meraas,2002,3,32697,798837,Apartment
Business Bay,441,3,2,"Parking, Smart Home, Kids Area, Gym",Unfurnished,Park,Sobha,2022,2,26086,579261,Apartment
Dubai Marina,3170,5,4,"Security, Pet Friendly, Balcony",Unfurnished,Park,Emaar,2018,3,244414,5168912,Villa
JLT,3029,2,3,"Kids Area, Pet Friendly, Maid Room",Semi-Furnished,Sea,Azizi,2020,2,129480,2461523,Townhouse
Palm Jumeirah,1141,3,3,"Pet Friendly, Parking, Kids Area, Security",Unfurnished,City,Azizi,2017,2,79218,1223036,Apartment
JLT,902,1,1,"Balcony, Smart Home, Security, Pet Friendly, Maid Room, Parking",Furnished,Street,Damac,2005,2,50154,784465,Apartment
Arabian Ranches,1620,3,3,"Maid Room, Balcony, Gym",Furnished,Street,Sobha,2017,1,120477,2029029,Apartment
Palm Jumeirah,435,1,1,"Pet Friendly, Balcony, Parking, Kids Area",Unfurnished,City,Sobha,2017,3,29646,424127,Apartment
Arabian Ranches,1329,2,2,"Balcony, Pool, Kids Area, Smart Home, Parking",Furnished,None,Meraas,2005,1,63269,1160360,Apartment
JLT,2197,3,2,"Parking, Security, Gym, Kids Area, Smart Home",Furnished,City,Emaar,2001,3,163935,2399424,Townhouse
Palm Jumeirah,425,3,3,"Smart Home, Maid Room, Parking, Pool, Gym, Pet Friendly",Semi-Furnished,Sea,Emaar,2012,2,19000,322687,Apartment
JVC,1552,2,1,"Pool, Pet Friendly, Security, Smart Home",Unfurnished,Park,Azizi,2012,2,108329,2214399,Apartment
The Springs,1671,1,2,"Balcony, Maid Room, Parking",Unfurnished,Sea,Nakheel,2007,1,85262,1907603,Apartment
The Springs,1616,2,2,"Balcony, Security, Kids Area",Semi-Furnished,Street,Emaar,2021,1,147991,2325632,Apartment
Business Bay,1515,1,2,"Security, Parking, Gym, Pet Friendly",Furnished,City,Azizi,2023,3,115760,2176985,Apartment
Palm Jumeirah,5366,6,6,"Smart Home, Pool, Security, Gym, Balcony, Parking",Unfurnished,City,Emaar,2002,1,615281,9454414,Villa
JVC,3176,3,4,"Parking, Smart Home, Security",Unfurnished,Street,Damac,2005,3,252888,3925170,Townhouse
Dubai Marina,1236,2,2,"Parking, Kids Area, Balcony",Unfurnished,Street,Damac,2021,2,94340,1669654,Apartment
Palm Jumeirah,916,2,1,"Maid Room, Gym, Kids Area, Security, Balcony, Pet Friendly",Furnished,Park,Azizi,2011,3,70251,1195521,Apartment
JVC,1524,1,1,"Smart Home, Pool, Gym, Kids Area, Security, Maid Room",Unfurnished,Park,Damac,2017,1,74469,1740104,Apartment
Dubai Marina,640,3,2,"Security, Maid Room, Balcony, Pet Friendly, Kids Area, Pool",Semi-Furnished,None,Nakheel,2012,1,50827,919996,Apartment
Downtown,2365,3,3,"Gym, Security, Kids Area, Parking, Smart Home",Unfurnished,Street,Nakheel,2014,3,151791,3037467,Townhouse
The Springs,1059,1,2,"Pet Friendly, Balcony, Maid Room, Smart Home",Furnished,City,Meraas,2015,3,77935,1515158,Apartment
Downtown,475,1,2,"Pool, Smart Home, Gym, Security, Balcony",Furnished,Park,Sobha,2020,1,22899,360934,Apartment
JLT,1818,2,3,"Kids Area, Pet Friendly, Parking",Unfurnished,Street,Azizi,2001,3,80865,1372111,Apartment
JLT,3329,2,2,"Pool, Smart Home, Maid Room",Unfurnished,City,Emaar,2001,2,259307,5313561,Townhouse
Arabian Ranches,900,3,3,"Parking, Maid Room, Gym, Security",Semi-Furnished,None,Meraas,2007,2,57016,1287236,Apartment
Palm Jumeirah,4382,5,6,"Smart Home, Security, Kids Area",Unfurnished,Park,Emaar,2014,2,383642,7833489,Villa
The Springs,4371,5,4,"Smart Home, Pool, Maid Room, Balcony, Security, Parking",Unfurnished,City,Meraas,2009,1,464316,7771395,Villa
JLT,1804,3,2,"Security, Balcony, Maid Room, Parking, Pool, Pet Friendly",Unfurnished,City,Meraas,2024,3,143233,2370413,Apartment
Downtown,5070,3,3,"Gym, Kids Area, Smart Home, Pool, Maid Room, Parking",Semi-Furnished,Street,Nakheel,2006,1,533242,8043619,Villa
Arabian Ranches,958,1,1,"Security, Kids Area, Pet Friendly, Gym, Balcony, Smart Home",Furnished,Park,Meraas,2023,3,98117,1421627,Apartment
Arabian Ranches,1208,1,1,"Smart Home, Kids Area, Maid Room",Unfurnished,City,Azizi,2012,3,75874,1754298,Apartment
Business Bay,1668,3,3,"Pool, Smart Home, Kids Area, Parking",Unfurnished,Street,Emaar,2004,1,119402,2430291,Apartment
Palm Jumeirah,880,3,2,"Smart Home, Kids Area, Maid Room, Pet Friendly, Security, Balcony",Unfurnished,Park,Sobha,2020,1,70334,1202919,Apartment
JLT,1158,1,1,"Balcony, Kids Area, Gym, Smart Home, Parking, Security",Furnished,Street,Damac,2006,1,109371,1689763,Apartment
Dubai Marina,5128,3,2,"Balcony, Parking, Pet Friendly, Security, Pool",Furnished,None,Nakheel,2018,1,388688,8271735,Villa
Downtown,4941,3,3,"Parking, Security, Pet Friendly, Pool",Furnished,Sea,Nakheel,2000,2,370321,7856114,Villa
Arabian Ranches,943,1,1,"Maid Room, Pool, Kids Area, Gym, Balcony, Security",Semi-Furnished,None,Azizi,2003,2,71110,1040195,Apartment
JVC,5198,5,5,"Gym, Smart Home, Pet Friendly",Semi-Furnished,Street,Meraas,2003,2,419069,7861462,Villa
Dubai Marina,703,1,1,"Maid Room, Kids Area, Balcony, Security, Smart Home",Semi-Furnished,Street,Azizi,2019,2,33449,547877,Apartment
Business Bay,867,2,2,"Pet Friendly, Maid Room, Kids Area, Gym, Parking, Balcony",Semi-Furnished,City,Damac,2004,3,52394,1247082,Apartment
Dubai Marina,597,3,4,"Parking, Gym, Security, Pet Friendly, Kids Area",Semi-Furnished,Sea,Sobha,2011,3,45700,867383,Apartment
JVC,3029,3,3,"Maid Room, Balcony, Pool",Unfurnished,Street,Nakheel,2003,2,254309,4983836,Townhouse
JLT,1278,3,4,"Security, Gym, Pool",Semi-Furnished,City,Damac,2011,1,47844,1080069,Apartment
The Springs,1917,3,2,"Maid Room, Balcony, Smart Home",Semi-Furnished,Street,Damac,2005,2,90502,1819827,Apartment
Dubai Marina,2118,2,3,"Pool, Security, Balcony",Unfurnished,Street,Sobha,2019,2,119496,2571641,Townhouse
Dubai Marina,627,2,3,"Maid Room, Security, Gym, Pool, Balcony, Pet Friendly",Furnished,Park,Damac,2006,1,40027,822203,Apartment
Dubai Marina,1929,2,1,"Pet Friendly, Balcony, Security, Maid Room",Unfurnished,City,Emaar,2012,3,57419,1415580,Apartment
Dubai Marina,2979,3,4,"Pet Friendly, Security, Gym, Balcony, Maid Room, Parking",Furnished,None,Sobha,2022,2,172858,2645738,Townhouse
Business Bay,1220,3,2,"Security, Kids Area, Pool, Parking, Pet Friendly, Gym",Unfurnished,Sea,Azizi,2016,1,87745,1738180,Apartment
Downtown,699,2,1,"Parking, Pool, Smart Home, Kids Area",Semi-Furnished,Street,Azizi,2024,3,50138,740327,Apartment
Arabian Ranches,3084,3,2,"Pool, Smart Home, Balcony, Kids Area, Parking, Security",Unfurnished,Sea,Damac,2016,1,183407,3424497,Townhouse
JVC,987,1,2,"Maid Room, Pet Friendly, Balcony",Unfurnished,None,Meraas,2001,2,80505,1408685,Apartment
Business Bay,1374,3,2,"Smart Home, Pool, Pet Friendly",Semi-Furnished,Sea,Azizi,2020,1,61524,1004825,Apartment
Palm Jumeirah,1648,1,1,"Security, Pet Friendly, Balcony, Parking, Maid Room",Furnished,City,Emaar,2010,1,97477,1889218,Apartment
JLT,5189,4,4,"Parking, Kids Area, Maid Room",Unfurnished,Street,Nakheel,2019,3,444498,9018493,Villa
The Springs,3845,4,5,"Pet Friendly, Kids Area, Gym",Semi-Furnished,City,Nakheel,2006,2,366820,6719784,Villa
Business Bay,2117,2,2,"Maid Room, Gym, Kids Area",Semi-Furnished,None,Nakheel,2019,2,91766,2020153,Townhouse
Downtown,2678,6,6,"Smart Home, Security, Pet Friendly, Kids Area",Semi-Furnished,Park,Azizi,2007,2,300392,4728267,Villa
Business Bay,1568,2,2,"Pet Friendly, Maid Room, Pool, Smart Home, Security",Furnished,City,Emaar,2020,2,124265,2194092,Apartment
Dubai Marina,4613,3,3,"Parking, Security, Balcony",Unfurnished,Park,Sobha,2002,1,496237,7457852,Villa
JVC,1211,3,3,"Pet Friendly, Pool, Parking, Smart Home",Furnished,City,Emaar,2022,3,52038,1172529,Apartment
JVC,1367,3,2,"Smart Home, Gym, Maid Room, Pet Friendly, Parking, Pool",Furnished,None,Meraas,2019,3,89850,1419771,Apartment
Business Bay,497,1,1,"Pool, Maid Room, Pet Friendly, Balcony, Security, Gym",Unfurnished,None,Azizi,2007,3,21414,404986,Apartment
Arabian Ranches,1253,1,2,"Maid Room, Kids Area, Gym",Unfurnished,None,Azizi,2016,3,59413,897483,Apartment
JVC,4029,5,6,"Kids Area, Pool, Parking",Furnished,Sea,Azizi,2023,2,190175,3760707,Villa
Arabian Ranches,2158,4,4,"Parking, Maid Room, Gym, Kids Area, Balcony, Pet Friendly",Semi-Furnished,Park,Emaar,2006,1,118693,2407455,Townhouse
The Springs,2912,3,3,"Balcony, Security, Parking",Furnished,City,Damac,2003,2,187306,3602002,Townhouse
Palm Jumeirah,2591,3,2,"Smart Home, Kids Area, Pet Friendly, Security, Parking, Gym",Unfurnished,Street,Emaar,2013,3,211223,4651099,Townhouse
JLT,563,2,3,"Security, Smart Home, Maid Room, Kids Area, Balcony",Furnished,Street,Damac,2014,1,48588,721457,Apartment
The Springs,517,1,2,"Kids Area, Parking, Gym, Pool, Security, Balcony",Furnished,Park,Emaar,2007,3,26433,513413,Apartment
JVC,5281,6,6,"Smart Home, Pool, Security, Maid Room, Pet Friendly",Semi-Furnished,Street,Damac,2020,2,240585,5542999,Villa
Downtown,1192,3,2,"Security, Smart Home, Pool, Maid Room, Parking",Unfurnished,Street,Nakheel,2003,1,88250,1647655,Apartment
Palm Jumeirah,3459,4,4,"Pool, Security, Parking, Maid Room, Kids Area",Semi-Furnished,None,Nakheel,2003,1,259389,5506955,Townhouse
Palm Jumeirah,1534,3,3,"Maid Room, Parking, Security, Gym, Kids Area, Smart Home",Semi-Furnished,Street,Azizi,2013,2,87979,2084202,Apartment
Arabian Ranches,4343,6,7,"Parking, Maid Room, Pet Friendly, Pool, Balcony",Unfurnished,Sea,Emaar,2016,1,215108,4795212,Villa
Business Bay,1462,2,1,"Balcony, Security, Pool, Kids Area, Parking",Unfurnished,None,Emaar,2016,3,83306,1220636,Apartment
Downtown,1678,3,4,"Gym, Maid Room, Smart Home, Pet Friendly, Security",Semi-Furnished,Park,Azizi,2013,3,111661,2032381,Apartment
JLT,3737,6,5,"Security, Smart Home, Gym, Kids Area, Pet Friendly, Pool",Semi-Furnished,Street,Sobha,2014,1,188800,4260899,Villa
Arabian Ranches,3914,6,5,"Maid Room, Pool, Parking, Smart Home, Balcony",Furnished,City,Sobha,2007,1,170965,3510120,Villa
The Springs,2656,2,1,"Kids Area, Balcony, Pet Friendly, Pool, Smart Home",Unfurnished,Street,Sobha,2009,2,149452,2186356,Townhouse
Palm Jumeirah,2240,4,4,"Gym, Security, Balcony",Unfurnished,Street,Damac,2017,1,195286,3689666,Townhouse
JLT,5628,6,6,"Pet Friendly, Gym, Security",Unfurnished,Park,Damac,2017,2,271020,4916236,Villa
JLT,3076,4,5,"Parking, Pool, Balcony",Semi-Furnished,City,Azizi,2011,1,169861,3073102,Townhouse
JVC,680,3,3,"Maid Room, Smart Home, Pool, Security, Kids Area, Pet Friendly",Semi-Furnished,None,Damac,2005,2,63105,1014894,Apartment
JLT,1438,3,4,"Security, Smart Home, Pet Friendly, Gym, Parking, Maid Room",Unfurnished,Sea,Sobha,2018,2,118775,1923186,Apartment
JVC,943,3,4,"Gym, Smart Home, Pool, Security",Unfurnished,None,Sobha,2004,3,48189,842813,Apartment
Dubai Marina,1303,2,2,"Pet Friendly, Balcony, Smart Home, Security",Unfurnished,Street,Meraas,2023,1,91552,1647800,Apartment
Arabian Ranches,2779,4,4,"Parking, Smart Home, Security, Maid Room, Pet Friendly",Semi-Furnished,City,Azizi,2015,1,236222,4883640,Townhouse
JLT,1009,2,3,"Smart Home, Kids Area, Balcony, Parking",Unfurnished,City,Damac,2003,3,64365,1252469,Apartment
The Springs,3383,2,2,"Security, Pool, Parking",Semi-Furnished,City,Meraas,2015,1,190373,3389996,Townhouse
JLT,1660,3,4,"Balcony, Gym, Kids Area, Security",Furnished,Park,Emaar,2003,2,86709,1600629,Apartment
Downtown,1527,1,1,"Smart Home, Balcony, Pet Friendly, Parking, Kids Area, Security",Unfurnished,Sea,Emaar,2020,3,84077,1352580,Apartment
JVC,2158,3,2,"Pet Friendly, Smart Home, Pool",Unfurnished,City,Emaar,2000,2,127585,2952061,Townhouse
Arabian Ranches,1713,3,4,"Parking, Smart Home, Maid Room, Pool, Gym, Pet Friendly",Furnished,Street,Meraas,2008,3,90307,1454267,Apartment
JLT,1950,1,1,"Pet Friendly, Kids Area, Gym, Balcony, Maid Room, Pool",Furnished,Street,Damac,2007,1,83392,1771825,Apartment
JLT,2418,4,5,"Security, Kids Area, Smart Home",Furnished,Sea,Meraas,2003,2,139600,2676257,Townhouse
JLT,5116,5,5,"Balcony, Parking, Maid Room, Pool",Semi-Furnished,None,Damac,2013,3,373606,6902683,Villa
Business Bay,5286,3,4,"Maid Room, Kids Area, Gym, Security, Pet Friendly, Smart Home",Unfurnished,None,Nakheel,2018,3,250260,5020919,Villa
Palm Jumeirah,820,3,4,"Pool, Smart Home, Pet Friendly, Gym, Balcony, Maid Room",Unfurnished,Street,Sobha,2018,1,56606,940570,Apartment
JLT,4121,5,4,"Pool, Gym, Balcony, Parking",Unfurnished,Sea,Azizi,2001,1,398669,7360671,Villa
JLT,1974,1,2,"Kids Area, Pet Friendly, Balcony, Smart Home, Maid Room, Gym",Unfurnished,None,Nakheel,2020,2,109503,1569145,Apartment
The Springs,1890,1,1,"Security, Smart Home, Kids Area",Unfurnished,None,Sobha,2017,2,121784,2567920,Apartment
Arabian Ranches,786,3,2,"Pet Friendly, Gym, Pool",Furnished,Sea,Emaar,2019,1,49988,830922,Apartment
JVC,490,2,2,"Maid Room, Balcony, Pet Friendly, Gym",Furnished,None,Damac,2007,3,32608,568835,Apartment
Arabian Ranches,693,3,4,"Pet Friendly, Security, Parking, Gym",Unfurnished,None,Meraas,2005,3,48820,861399,Apartment
JVC,3117,4,4,"Pet Friendly, Maid Room, Pool, Parking, Balcony",Furnished,None,Sobha,2007,1,210070,3430995,Townhouse
Palm Jumeirah,2951,3,3,"Pet Friendly, Balcony, Parking, Pool",Semi-Furnished,Sea,Sobha,2011,1,255730,3941460,Townhouse
JVC,1779,3,4,"Pool, Balcony, Pet Friendly",Unfurnished,None,Nakheel,2015,1,124109,2482735,Apartment
JVC,789,3,2,"Balcony, Maid Room, Smart Home, Pool, Security, Parking",Semi-Furnished,Street,Sobha,2017,3,37275,779064,Apartment
Palm Jumeirah,1879,2,2,"Kids Area, Maid Room, Balcony, Gym",Unfurnished,Park,Meraas,2004,1,116169,1707295,Apartment
The Springs,801,2,1,"Balcony, Smart Home, Security, Kids Area, Parking, Pet Friendly",Semi-Furnished,Street,Sobha,2005,3,48238,1070120,Apartment
Palm Jumeirah,1510,3,2,"Pool, Gym, Pet Friendly",Furnished,Street,Nakheel,2020,1,50725,1139105,Apartment
Business Bay,1164,1,2,"Smart Home, Gym, Maid Room, Security, Kids Area, Balcony",Furnished,Sea,Azizi,2023,2,63845,1313679,Apartment
The Springs,2167,2,1,"Balcony, Maid Room, Security, Pet Friendly",Semi-Furnished,City,Damac,2012,1,132643,2542002,Townhouse
Business Bay,2262,3,4,"Gym, Pool, Balcony",Semi-Furnished,Street,Azizi,2015,1,198522,3249924,Townhouse
Dubai Marina,1288,3,3,"Maid Room, Gym, Pool",Furnished,None,Sobha,2008,1,112219,1853853,Apartment
JLT,2954,4,3,"Kids Area, Gym, Pool, Security",Furnished,Street,Emaar,2009,1,229664,4029132,Townhouse
The Springs,4714,5,5,"Pool, Kids Area, Gym, Pet Friendly",Semi-Furnished,Park,Emaar,2010,3,507724,7396292,Villa
The Springs,2468,2,3,"Smart Home, Maid Room, Pool, Parking, Security",Semi-Furnished,Street,Nakheel,2021,3,153465,3604938,Townhouse
JLT,5420,3,2,"Parking, Pet Friendly, Kids Area, Smart Home, Pool",Unfurnished,Street,Damac,2011,1,329974,4832040,Villa
Palm Jumeirah,952,1,1,"Parking, Pet Friendly, Balcony",Unfurnished,None,Azizi,2013,1,34743,686401,Apartment
Dubai Marina,1064,2,1,"Pet Friendly, Maid Room, Smart Home, Gym, Security",Furnished,None,Azizi,2005,3,47207,1068879,Apartment
JLT,698,1,1,"Security, Pet Friendly, Parking, Balcony, Gym, Smart Home",Semi-Furnished,Park,Meraas,2020,2,37618,820181,Apartment
Dubai Marina,413,2,2,"Kids Area, Smart Home, Parking, Balcony, Security, Pool",Semi-Furnished,City,Azizi,2022,1,20278,447364,Apartment
The Springs,2396,4,5,"Balcony, Kids Area, Maid Room, Parking, Pet Friendly, Smart Home",Furnished,None,Nakheel,2018,3,147985,2347905,Townhouse
JVC,2745,4,3,"Security, Pool, Pet Friendly, Balcony, Kids Area, Smart Home",Unfurnished,City,Nakheel,2008,3,138011,2619123,Townhouse
The Springs,1624,2,3,"Maid Room, Pet Friendly, Security, Gym, Parking, Kids Area",Furnished,Park,Meraas,2021,2,78983,1352906,Apartment
The Springs,2479,3,2,"Pool, Security, Maid Room",Unfurnished,None,Azizi,2018,3,181960,3409208,Townhouse
The Springs,1791,3,4,"Kids Area, Gym, Balcony, Smart Home",Semi-Furnished,Street,Emaar,2003,3,71897,1456692,Apartment
Palm Jumeirah,4634,6,6,"Pool, Smart Home, Kids Area, Pet Friendly, Balcony, Parking",Furnished,City,Emaar,2022,1,191707,3811859,Villa
Dubai Marina,3173,4,5,"Maid Room, Parking, Smart Home, Security",Semi-Furnished,Street,Nakheel,2012,3,184965,3123665,Villa
The Springs,1910,3,2,"Pet Friendly, Maid Room, Gym, Kids Area, Pool, Security",Semi-Furnished,Sea,Azizi,2003,3,80775,1622674,Apartment
Palm Jumeirah,1773,2,3,"Pet Friendly, Maid Room, Security, Gym, Parking",Semi-Furnished,Street,Azizi,2005,3,109709,2242473,Apartment
Dubai Marina,3782,3,2,"Pool, Parking, Smart Home, Kids Area, Maid Room",Unfurnished,Street,Sobha,2019,1,273968,5199516,Villa
Palm Jumeirah,5340,4,5,"Smart Home, Security, Pool, Pet Friendly",Semi-Furnished,Street,Azizi,2001,2,510196,9354836,Villa
Business Bay,2950,4,5,"Pet Friendly, Smart Home, Balcony, Kids Area, Maid Room, Security",Furnished,Sea,Azizi,2000,1,155431,3221665,Townhouse
JLT,1336,3,4,"Maid Room, Pool, Security, Gym, Parking, Pet Friendly",Unfurnished,Sea,Meraas,2014,3,61658,1168777,Apartment
Business Bay,466,2,2,"Pool, Smart Home, Pet Friendly, Gym, Maid Room",Furnished,None,Meraas,2011,3,29260,553705,Apartment
Downtown,5832,4,3,"Maid Room, Security, Smart Home, Pet Friendly, Pool",Semi-Furnished,City,Damac,2018,2,566518,10219981,Villa
Dubai Marina,1936,2,1,"Parking, Maid Room, Pool, Pet Friendly, Smart Home",Furnished,Street,Sobha,2004,3,137358,2334664,Apartment
The Springs,1697,1,1,"Kids Area, Smart Home, Balcony, Parking, Security",Furnished,Sea,Meraas,2014,3,106037,2089541,Apartment
Dubai Marina,4129,4,4,"Smart Home, Security, Parking, Pet Friendly",Semi-Furnished,None,Azizi,2004,3,434268,6822852,Villa
JVC,1682,2,1,"Parking, Smart Home, Balcony",Furnished,Street,Nakheel,2022,1,115988,2364418,Apartment
JLT,1138,2,1,"Parking, Gym, Balcony, Kids Area, Maid Room",Unfurnished,Park,Sobha,2020,1,57536,1437246,Apartment
Palm Jumeirah,1615,1,2,"Gym, Maid Room, Kids Area, Parking, Smart Home, Balcony",Unfurnished,Park,Sobha,2002,1,100651,1625426,Apartment
Dubai Marina,1152,2,1,"Parking, Maid Room, Gym, Security, Kids Area, Pet Friendly",Unfurnished,Park,Sobha,2011,3,62619,1002751,Apartment
The Springs,4312,4,3,"Parking, Pool, Security",Unfurnished,Street,Damac,2013,2,325428,6860722,Villa
Dubai Marina,1630,3,4,"Gym, Security, Pool, Smart Home, Kids Area",Unfurnished,Park,Meraas,2012,2,125986,1983605,Apartment
Business Bay,630,1,1,"Maid Room, Gym, Parking",Semi-Furnished,Park,Sobha,2018,2,37815,625167,Apartment
Palm Jumeirah,3377,2,1,"Gym, Security, Pool",Furnished,Sea,Sobha,2016,2,265487,4824283,Townhouse
The Springs,1223,1,2,"Security, Pool, Parking, Gym",Unfurnished,Park,Nakheel,2017,2,73100,1238391,Apartment
Dubai Marina,1295,3,2,"Balcony, Pool, Maid Room",Furnished,Street,Azizi,2019,1,76377,1226924,Apartment
Downtown,1849,1,2,"Parking, Smart Home, Maid Room",Unfurnished,None,Meraas,2008,1,115260,1844369,Apartment
JLT,2983,3,3,"Security, Pool, Parking, Kids Area, Maid Room, Gym",Semi-Furnished,Street,Azizi,2011,1,220999,3876736,Villa
Arabian Ranches,1983,1,2,"Balcony, Gym, Smart Home",Furnished,Park,Emaar,2015,2,88811,1995658,Apartment
JVC,1862,3,4,"Balcony, Kids Area, Pool, Maid Room, Parking, Security",Furnished,None,Damac,2003,3,95899,2306385,Apartment
Business Bay,1894,3,2,"Security, Maid Room, Parking, Gym, Smart Home, Balcony",Furnished,City,Nakheel,2009,3,186627,3001056,Townhouse
Business Bay,1611,2,1,"Parking, Gym, Balcony, Smart Home",Furnished,None,Damac,2020,3,154756,2258233,Apartment
JVC,4041,5,4,"Maid Room, Balcony, Smart Home, Pet Friendly",Furnished,Park,Meraas,2008,1,160089,3410200,Villa
The Springs,4025,6,7,"Pool, Parking, Kids Area",Semi-Furnished,Sea,Azizi,2018,1,342620,4970806,Villa
Business Bay,1045,2,3,"Kids Area, Smart Home, Parking, Pool, Gym",Furnished,Park,Azizi,2003,1,43850,819829,Apartment
Arabian Ranches,1497,2,1,"Security, Smart Home, Parking, Gym, Kids Area, Pool",Unfurnished,City,Meraas,2022,3,71338,1096198,Apartment
Arabian Ranches,1856,1,1,"Maid Room, Gym, Kids Area, Parking, Pet Friendly, Pool",Furnished,Street,Sobha,2017,3,90653,2116019,Apartment
